dm	446209	1129605309	0.032545	82.390011
OF	444718	1130050027	0.032436	82.422447
s,	444158	1130494185	0.032396	82.454843
NO	443404	1130937589	0.032341	82.487184
do	442713	1131380302	0.032290	82.519474
PU	440134	1131820436	0.032102	82.551576
(i	436613	1132257049	0.031845	82.583421
ds	436238	1132693287	0.031818	82.615239
ho	434825	1133128112	0.031715	82.646954
& 	432106	1133560218	0.031517	82.678470
xt	431603	1133991821	0.031480	82.709950
\x09b	430639	1134422460	0.031410	82.741360
 /	429725	1134852185	0.031343	82.772702
64	427767	1135279952	0.031200	82.803902
md	427522	1135707474	0.031182	82.835085
e-	422837	1136130311	0.030840	82.865925
 G	419380	1136549691	0.030588	82.896513
x4	418721	1136968412	0.030540	82.927054
