LU	1133177	1050697787	0.082653	76.637462
X1	1125388	1051823175	0.082085	76.719547
FS	1113980	1052937155	0.081253	76.800800
DM	1113932	1054051087	0.081250	76.882050
 &	1113472	1055164559	0.081216	76.963266
",	1110727	1056275286	0.081016	77.044282
 1	1100648	1057375934	0.080281	77.124563
IZ	1096689	1058472623	0.079992	77.204555
TC	1092755	1059565378	0.079705	77.284260
IV	1091458	1060656836	0.079610	77.363870
SO	1089360	1061746196	0.079457	77.443328
MS	1088387	1062834583	0.079386	77.522714
UM	1087156	1063921739	0.079297	77.602011
CP	1080230	1065001969	0.078792	77.680803
CF	1072954	1066074923	0.078261	77.759063
DC	1067448	1067142371	0.077859	77.836923
RS	1055747	1068198118	0.077006	77.913928
RX	1052030	1069250148	0.076735	77.990663
LK	1051754	1070301902	0.076715	78.067378
EQ	1051099	1071353001	0.076667	78.144044
\x09}	1049182	1072402183	0.076527	78.220571
E(	1048020	1073450203	0.076442	78.297013
ZE	1042001	1074492204	0.076003	78.373016
\x0A}	1032252	1075524456	0.075292	78.448309
G 	1026401	1076550857	0.074865	78.523174
--	1021049	1077571906	0.074475	78.597649
FA	1018580	1078590486	0.074295	78.671943
\x0AS	1008765	1079599251	0.073579	78.745522
32	1008193	1080607444	0.073537	78.819060
TY	985532	1081592976	0.071884	78.890944
H_	983317	1082576293	0.071723	78.962667
EE	983198	1083559491	0.071714	79.034381
AI	968317	1084527808	0.070629	79.105009
FG	966267	1085494075	0.070479	79.175488
V_	960774	1086454849	0.070078	79.245567
F0	947997	1087402846	0.069147	79.314713
HY	941443	1088344289	0.068668	79.383382
 H	937435	1089281724	0.068376	79.451758
WR	933736	1090215460	0.068106	79.519864
E,	932441	1091147901	0.068012	79.587876
 <	923542	1092071443	0.067363	79.655239
KE	922230	1092993673	0.067267	79.722506
0L	918926	1093912599	0.067026	79.789532
Y 	917304	1094829903	0.066908	79.856440
RM	912078	1095741981	0.066527	79.922966
\x0A/	910362	1096652343	0.066401	79.989368
\x09/	904231	1097556574	0.065954	80.055322
PF	897444	1098454018	0.065459	80.120781
MC	892971	1099346989	0.065133	80.185914
OI	891111	1100238100	0.064997	80.250911
W_	886986	1101125086	0.064696	80.315608
AU	878805	1102003891	0.064100	80.379708
GS	875976	1102879867	0.063893	80.443601
GI	875245	1103755112	0.063840	80.507441
MD	874330	1104629442	0.063773	80.571214
Q_	872886	1105502328	0.063668	80.634882
FR	872391	1106374719	0.063632	80.698514
T(	870167	1107244886	0.063470	80.761984
\x09.	870155	1108115041	0.063469	80.825452
 -	865829	1108980870	0.063153	80.888605
OW	865755	1109846625	0.063148	80.951753
XF	865702	1110712327	0.063144	81.014897
20	862469	1111574796	0.062908	81.077805
BE	860340	1112435136	0.062753	81.140558
PS	855896	1113291032	0.062429	81.202987
LT	853575	1114144607	0.062259	81.265246
01	850478	1114995085	0.062034	81.327280
\x09C	845634	1115840719	0.061680	81.388960
DS	841944	1116682663	0.061411	81.450371
YS	838822	1117521485	0.061183	81.511554
5_	833496	1118354981	0.060795	81.572349
MU	826671	1119181652	0.060297	81.632646
FE	824263	1120005915	0.060121	81.692768
OV	817033	1120822948	0.059594	81.752362
RL	809347	1121632295	0.059033	81.811395
SA	809019	1122441314	0.059010	81.870405
DO	801509	1123242823	0.058462	81.928866
\x09U	799329	1124042152	0.058303	81.987169
E)	798762	1124840914	0.058261	82.045431
 G	789771	1125630685	0.057606	82.103036
),	787206	1126417891	0.057418	82.160455
QU	783488	1127201379	0.057147	82.217602
A 	783232	1127984611	0.057129	82.274730
))	778268	1128762879	0.056767	82.331497
WI	768429	1129531308	0.056049	82.387546
T)	766864	1130298172	0.055935	82.443481
GP	760173	1131058345	0.055447	82.498927
},	759594	1131817939	0.055404	82.554332
YP	759103	1132577042	0.055369	82.609701
LS	755497	1133332539	0.055106	82.664806
WA	737887	1134070426	0.053821	82.718627
VO	734968	1134805394	0.053608	82.772236
U_	734761	1135540155	0.053593	82.825829
UD	731696	1136271851	0.053370	82.879198
PP	725525	1136997376	0.052919	82.932118
\x0A{	725423	1137722799	0.052912	82.985030
RF	724209	1138447008	0.052824	83.037853
TT	721635	1139168643	0.052636	83.090489
OS	716476	1139885119	0.052259	83.142749
UF	712603	1140597722	0.051977	83.194726
GR	708017	1141305739	0.051642	83.246368
\x090	700455	1142006194	0.051091	83.297459
PD	692406	1142698600	0.050504	83.347963
SM	686378	1143384978	0.050064	83.398027
GA	684108	1144069086	0.049899	83.447925
RY	680997	1144750083	0.049672	83.497597
T,	671585	1145421668	0.048985	83.546582
*\x0A	661449	1146083117	0.048246	83.594828
X 	659743	1146742860	0.048121	83.642949
X4	651828	1147394688	0.047544	83.690493
(C	650049	1148044737	0.047414	83.737908
IA	648680	1148693417	0.047314	83.785222
XT	648256	1149341673	0.047284	83.832506
RV	633185	1149974858	0.046184	83.878690
_0	627790	1150602648	0.045791	83.924481
M 	624792	1151227440	0.045572	83.970053
OO	624291	1151851731	0.045536	84.015588
GN	623227	1152474958	0.045458	84.061046
HO	621313	1153096271	0.045318	84.106365
0)	621273	1153717544	0.045315	84.151680
NL	620755	1154338299	0.045278	84.196958
2 	616813	1154955112	0.044990	84.241948
H 	615729	1155570841	0.044911	84.286859
LD	609551	1156180392	0.044460	84.331319
BO	606680	1156787072	0.044251	84.375570
P 	603250	1157390322	0.044001	84.419571
02	600894	1157991216	0.043829	84.463400
UB	598535	1158589751	0.043657	84.507057
NK	597643	1159187394	0.043592	84.550649
\x09D	594412	1159781806	0.043356	84.594005
_X	593279	1160375085	0.043274	84.637278
:\x0A	591926	1160967011	0.043175	84.680453
AX	591023	1161558034	0.043109	84.723562
MB	591007	1162149041	0.043108	84.766670
CU	583499	1162732540	0.042560	84.809230
RQ	583099	1163315639	0.042531	84.851761
.\x0A	581247	1163896886	0.042396	84.894157
 |	580016	1164476902	0.042306	84.936463
S)	579220	1165056122	0.042248	84.978711
80	578713	1165634835	0.042211	85.020922
UX	574391	1166209226	0.041896	85.062818
V0	572238	1166781464	0.041739	85.104557
 2	566456	1167347920	0.041317	85.145874
\x09B	566436	1167914356	0.041316	85.187190
PM	565545	1168479901	0.041251	85.228440
T;	564961	1169044862	0.041208	85.269648
R(	563799	1169608661	0.041123	85.310771
SD	563679	1170172340	0.041115	85.351886
0;	561288	1170733628	0.040940	85.392826
16	559571	1171293199	0.040815	85.433641
12	559401	1171852600	0.040802	85.474443
(&	557088	1172409688	0.040634	85.515077
SR	556329	1172966017	0.040578	85.555656
E;	554821	1173520838	0.040468	85.596124
MT	554653	1174075491	0.040456	85.636580
VM	553029	1174628520	0.040338	85.676918
V,	548554	1175177074	0.040011	85.716929
//	546410	1175723484	0.039855	85.756784
BR	544464	1176267948	0.039713	85.796497
6_	544185	1176812133	0.039693	85.836190
\x09P	540746	1177352879	0.039442	85.875632
11	536228	1177889107	0.039112	85.914744
1,	533531	1178422638	0.038916	85.953659
FC	531820	1178954458	0.038791	85.992450
(I	530239	1179484697	0.038675	86.031125
(R	528227	1180012924	0.038529	86.069654
(P	523853	1180536777	0.038210	86.107864
(D	522532	1181059309	0.038113	86.145977
\x09{	521900	1181581209	0.038067	86.184044
0 	520059	1182101268	0.037933	86.221977
_2	519717	1182620985	0.037908	86.259885
V-	514866	1183135851	0.037554	86.297439
S,	512880	1183648731	0.037409	86.334848
] 	511034	1184159765	0.037275	86.372123
NN	506104	1184665869	0.036915	86.409038
.H	505017	1185170886	0.036836	86.445874
NV	503296	1185674182	0.036710	86.482584
D,	501246	1186175428	0.036561	86.519145
40	498810	1186674238	0.036383	86.555528
DX	497935	1187172173	0.036319	86.591847
IX	497278	1187669451	0.036271	86.628118
==	497220	1188166671	0.036267	86.664385
AY	495534	1188662205	0.036144	86.700529
E\x0A	493383	1189155588	0.035987	86.736516
RG	491744	1189647332	0.035868	86.772384
WE	487161	1190134493	0.035533	86.807917
HD	484049	1190618542	0.035306	86.843223
N"	483757	1191102299	0.035285	86.878509
HW	483108	1191585407	0.035238	86.913746
D)	480411	1192065818	0.035041	86.948787
TP	479151	1192544969	0.034949	86.983736
#I	478082	1193023051	0.034871	87.018607
